gene,alias
ACTG1P10,ACTG1P10
ACTL6A,ACTL6
ACTL6A,ARPN-BETA
ACTL6A,Arp4
ACTL6A,BAF53A
ACTL6A,INO80K
ACTL6A,SMARCN1
ACTL6A,ACTL6A
ACTN1,BDPLT15
ACTN1,ACTN1
ACTN2,CMD1AA
ACTN2,CMH23
ACTN2,MPD6
ACTN2,MYOCOZ
ACTN2,ACTN2
ACTN3,ACTN3D
ACTN3,ACTN3
ACVR1,ACTRI
ACVR1,ACVR1A
ACVR1,ACVRLK2
ACVR1,ALK2
ACVR1,FOP
ACVR1,SKR1
ACVR1,TSRI
ACVR1,ACVR1
ACVR1B,ACTRIB
ACVR1B,ACVRLK4
ACVR1B,ALK4
ACVR1B,SKR2
ACVR1B,ACVR1B
ACVR2A,ACTRII
ACVR2A,ACVR2
ACVR2A,ACVR2A
ACVR2B,ACTRIIB
ACVR2B,ActR-IIB
ACVR2B,HTX4
ACVR2B,ACVR2B
ACVRL1,ACVRLK1
ACVRL1,ALK-1
ACVRL1,ALK1
ACVRL1,HHT
ACVRL1,HHT2
ACVRL1,ORW2
ACVRL1,SKR3
ACVRL1,TSR-I
ACVRL1,ACVRL1
ACY1,ACY-1
ACY1,ACY1D
ACY1,HEL-S-5
ACY1,ACY1
ACYP1,ACYPE
ACYP1,ACYP1
ACYP2,ACYM
ACYP2,ACYP
ACYP2,ACYP2
ADA,ADA1
ADA,ADA
ADAM8,CD156
ADAM8,CD156a
ADAM8,MS2
ADAM8,ADAM8
ADAM10,AD10
ADAM10,AD18
ADAM10,CD156c
ADAM10,CDw156
ADAM10,HsT18717
ADAM10,MADM
ADAM10,RAK
ADAM10,kuz
ADAM10,ADAM10
ADAR,ADAR1
ADAR,AGS6
ADAR,DRADA
ADAR,DSH
ADAR,DSRAD
ADAR,G1P1
ADAR,IFI-4
ADAR,IFI4
ADAR,K88DSRBP
ADAR,P136
ADAR,ADAR
ADARB1,ADAR2
ADARB1,DRABA2
ADARB1,DRADA2
ADARB1,NEDHYMS
ADARB1,RED1
ADARB1,ADARB1
ADARB2,ADAR3
ADARB2,RED2
ADARB2,ADARB2
ADCP1,ADCP1
ADCY1,AC1
ADCY1,DFNB44
ADCY1,ADCY1
ADCY2,AC2
ADCY2,HBAC2
ADCY2,ADCY2
ADCY3,AC-III
ADCY3,AC3
ADCY3,BMIQ19
ADCY3,ADCY3
ADCY5,AC5
